flow,ts,ipd
192.168.1.5_18.97.36.19,1768722679.4731848,0.26776742935180664
192.168.1.5_18.97.36.19,1768722682.5761313,3.1029465198516846
18.97.36.19_192.168.1.5,1768722679.4201846,0.7758302688598633
18.97.36.19_192.168.1.5,1768722679.4211845,0.0009999275207519531
18.97.36.19_192.168.1.5,1768722682.5751324,3.1539478302001953
18.97.36.19_192.168.1.5,1768722682.8448672,0.26973485946655273
192.168.1.5_224.0.0.22,1768722678.7418647,0.010993242263793945
192.168.1.5_224.0.0.22,1768722679.2199519,0.4780871868133545
192.168.1.5_224.0.0.22,1768722679.5697267,0.3497748374938965
192.168.1.5_224.0.0.22,1768722679.570725,0.0009982585906982422
192.168.1.5_224.0.0.22,1768722679.7269301,0.1562051773071289
192.168.1.5_224.0.0.252,1768722679.1573272,0.4144623279571533
192.168.1.5_224.0.0.252,1768722679.5717351,0.41440796852111816
192.168.1.5_224.0.0.252,1768722679.9969332,0.4251980781555176
151.101.157.91_192.168.1.5,1768722680.320201,0.024539709091186523
151.101.157.91_192.168.1.5,1768722680.320201,0.0
192.168.1.5_151.101.157.91,1768722680.3096952,0.0010347366333007812
192.168.1.5_140.82.112.21,1768722689.2718542,0.2552049160003662
192.168.1.5_140.82.112.21,1768722689.2718542,0.0
192.168.1.5_140.82.112.21,1768722689.5284383,0.25658416748046875
192.168.1.5_140.82.112.21,1768722689.533953,0.005514621734619141
192.168.1.5_140.82.112.21,1768722689.533953,0.0
192.168.1.5_140.82.112.21,1768722689.5349538,0.0010008811950683594
192.168.1.5_140.82.112.21,1768722689.5349538,0.0
192.168.1.5_140.82.112.21,1768722689.7907567,0.25580286979675293
192.168.1.5_140.82.112.21,1768722690.0870953,0.2963385581970215
192.168.1.5_140.82.112.21,1768722690.0870953,0.0
192.168.1.5_140.82.112.21,1768722690.0870953,0.0
140.82.112.21_192.168.1.5,1768722689.5284383,0.25658416748046875
140.82.112.21_192.168.1.5,1768722689.5284383,0.0
140.82.112.21_192.168.1.5,1768722689.5284383,0.0
140.82.112.21_192.168.1.5,1768722689.5329525,0.004514217376708984
140.82.112.21_192.168.1.5,1768722689.533953,0.0010004043579101562
140.82.112.21_192.168.1.5,1768722689.7897606,0.25580763816833496
140.82.112.21_192.168.1.5,1768722689.7897606,0.0
140.82.112.21_192.168.1.5,1768722689.7907567,0.0009961128234863281
140.82.112.21_192.168.1.5,1768722690.0860991,0.29534244537353516
140.82.112.21_192.168.1.5,1768722690.0860991,0.0
140.82.112.21_192.168.1.5,1768722690.0860991,0.0
140.82.112.21_192.168.1.5,1768722690.3400023,0.2539031505584717
192.168.1.5_224.0.0.251,1768722690.996578,0.002997875213623047
192.168.1.5_224.0.0.251,1768722691.2628005,0.2662224769592285
192.168.1.5_224.0.0.251,1768722691.5179658,0.25516533851623535
192.168.1.5_224.0.0.251,1768722691.787749,0.26978325843811035
192.168.1.5_224.0.0.251,1768722691.7907293,0.0029802322387695312
